NO,구분,고객번호,구분1,본부명,센터,팀,국사,고객번호
1,대상,1710012090,무선,1.강북/강원,강북/강원ICT기술담당,엔지니어링기술부,강원교환국사,1710012090
2,대상,0135338560,#N/A,1.강북/강원,강북/강원코어운용센터,전원기술부,혜화,0135338560
3,대상,0149950737,비통신,비통신,서울강북액세스운용센터,광화문운용팀,광화문(E),0149950737
5,대상,0135152769,#N/A,1.강북/강원,서울강북액세스운용센터,원효운용팀,아현,0135152769
7,대상,0135153232,#N/A,1.강북/강원,서울강북액세스운용센터,은평운용팀,은평,0135153232
9,대상,0135144369,#N/A,1.강북/강원,서울강북액세스운용센터,광진운용팀,성수,0135144369
10,대상,0135143985,#N/A,1.강북/강원,서울강북액세스운용센터,광진운용팀,행당,0135143985
11,대상,0135142940,#N/A,1.강북/강원,서울강북액세스운용센터,전농운용팀,전농,0135142940
12,대상,0135287641,#N/A,1.강북/강원,서울강북액세스운용센터,중랑운용팀,신내,0135287641
13,대상,0143938498,#N/A,1.강북/강원,서울강북액세스운용센터,도봉운용팀,강북,0143938498
14,대상,0135132087,#N/A,1.강북/강원,서울강북액세스운용센터,도봉운용팀,도봉,0135132087
15,대상,0135147785,#N/A,1.강북/강원,서울강북액세스운용센터,월곡운용팀,월곡,0135147785
16,대상,0135134539,estate,1.강북/강원,서울강북액세스운용센터,노원운용팀,노원(본동),0135134539
17,대상,1710015328,estate,1.강북/강원,강원액세스운용센터,원주운용팀,남원주(본동),1710015328
18,대상,0710046803,estate,1.강북/강원,강원액세스운용센터,원주운용팀,대화,0710046803
19,대상,1710012009,#N/A,1.강북/강원,강원액세스운용센터,원주운용팀,원주,1710012009
20,대상,1710057960,비통신,비통신,강원액세스운용센터,원주운용팀,원주연수원,1710057960
21,대상,0710034683,#N/A,1.강북/강원,강원액세스운용센터,강릉운용팀,동강릉,0710034683
22,대상,0710027307,#N/A,1.강북/강원,강원액세스운용센터,강릉운용팀,서강릉,0710027307
23,대상,0710046331,#N/A,1.강북/강원,강원액세스운용센터,강릉운용팀,정선,0710046331
24,대상,0710016275,#N/A,1.강북/강원,강원액세스운용센터,동해운용팀,동해,0710016275
25,대상,0710015560,#N/A,1.강북/강원,강원액세스운용센터,속초운용팀,속초,0710015560
26,대상,0710006204,#N/A,1.강북/강원,강원액세스운용센터,속초운용팀,양양,0710006204
27,대상,1710023462,#N/A,1.강북/강원,강원액세스운용센터,춘천운용팀,철원,1710023462
28,대상,1710008443,#N/A,1.강북/강원,강원액세스운용센터,춘천운용팀,춘천,1710008443
29,대상,1710028582,#N/A,1.강북/강원,강원액세스운용센터,춘천운용팀,화천,1710028582
30,대상,1016222917,#N/A,1.강북/강원,경기북부액세스운용센터,의정부운용팀,동의정부,1016222917
31,대상,1016223364,estate,1.강북/강원,경기북부액세스운용센터,의정부운용팀,의정부(본동),1016223364
32,대상,1016033131,#N/A,1.강북/강원,경기북부액세스운용센터,구리운용팀,구리,1016033131
34,대상,1016071367,#N/A,1.강북/강원,경기북부액세스운용센터,동두천운용팀,동두천,1016071367
35,대상,1016005661,#N/A,1.강북/강원,경기북부액세스운용센터,동두천운용팀,포천,1016005661
36,대상,1016228877,estate,1.강북/강원,경기북부액세스운용센터,일산운용팀,고양,1016228877
37,대상,1016199257,비통신,비통신,경기북부액세스운용센터,일산운용팀,서부건설센터(백석),1016199257
38,대상,1016230409,#N/A,1.강북/강원,경기북부액세스운용센터,일산운용팀,일산,1016230409
39,대상,1016076228,#N/A,1.강북/강원,경기북부액세스운용센터,파주운용팀,문산,1016076228
40,대상,1016145378,#N/A,1.강북/강원,경기북부액세스운용센터,파주운용팀,파주,1016145378
41,대상,1016085174,estate,1.강북/강원,경기북부액세스운용센터,덕양운용팀,능곡(본동),1016085174
42,대상,0227466747,무선,2.강남/서부,강남/서부ICT기술담당,엔지니어링기술부,용인무선교환,0227466747
43,대상,0135161161,#N/A,2.강남/서부,강남/서부코어운용센터,전원기술부,구로,0135161161
44,대상,0135161189,#N/A,2.강남/서부,서울강남액세스운용센터,동작운용팀,관악,0135161189
45,대상,0135159762,#N/A,2.강남/서부,서울강남액세스운용센터,동작운용팀,동작,0135159762
46,대상,0227264830,estate,2.강남/서부,서울강남액세스운용센터,대방운용팀,광명(신금천),0227264830
47,대상,0135157309,#N/A,2.강남/서부,서울강남액세스운용센터,대방운용팀,금천,0135157309
48,대상,0135157130,#N/A,2.강남/서부,서울강남액세스운용센터,대방운용팀,대방,0135157130
49,대상,0135331727,#N/A,2.강남/서부,서울강남액세스운용센터,강서운용팀,강서,0135331727
50,대상,0135249229,estate,2.강남/서부,서울강남액세스운용센터,가양운용팀,가양(본동),0135249229
51,대상,0135157522,#N/A,2.강남/서부,서울강남액세스운용센터,개봉운용팀,개봉,0135157522
52,대상,0140045323,estate,2.강남/서부,서울강남액세스운용센터,여의도운용팀,여의도,0140045323
53,대상,0135163604,#N/A,2.강남/서부,서울강남액세스운용센터,강남운용팀,수서,0135163604
54,대상,0135163640,#N/A,2.강남/서부,서울강남액세스운용센터,강남운용팀,양재,0135163640
55,대상,0135161615,#N/A,2.강남/서부,서울강남액세스운용센터,서초운용팀,과천,0135161615
56,대상,0135162598,#N/A,2.강남/서부,서울강남액세스운용센터,서초운용팀,서초,0135162598
57,대상,0135146376,#N/A,2.강남/서부,서울강남액세스운용센터,가락운용팀,가락,0135146376
58,대상,0227475755,#N/A,2.강남/서부,경기남부액세스운용센터,남수원운용팀,남수원,0227475755
60,대상,0227197315,#N/A,2.강남/서부,경기남부액세스운용센터,동수원운용팀,북수원,0227197315
61,대상,0227366622,#N/A,2.강남/서부,경기남부액세스운용센터,동수원운용팀,수원,0227366622
62,대상,0227300578,estate,2.강남/서부,경기남부액세스운용센터,동수원운용팀,영통,0227300578
63,대상,0227058956,#N/A,2.강남/서부,경기남부액세스운용센터,용인운용팀,수지,0227058956
64,대상,0227374560,#N/A,2.강남/서부,경기남부액세스운용센터,용인운용팀,신갈,0227374560
65,대상,0227374427,#N/A,2.강남/서부,경기남부액세스운용센터,용인운용팀,용인,0227374427
66,대상,0231337942,#N/A,2.강남/서부,경기남부액세스운용센터,오산운용팀,동탄,0231337942
67,대상,0227128417,#N/A,2.강남/서부,경기남부액세스운용센터,오산운용팀,발안,0227128417
68,대상,0227125385,#N/A,2.강남/서부,경기남부액세스운용센터,오산운용팀,오산,0227125385
69,대상,0227202960,#N/A,2.강남/서부,경기남부액세스운용센터,평택운용팀,송탄,0227202960
70,대상,0227443095,#N/A,2.강남/서부,경기남부액세스운용센터,평택운용팀,평택,0227443095
71,대상,0227438984,비통신,비통신,경기남부액세스운용센터,분당운용팀,KT본사,0227438984
72,대상,0230473323,비통신,비통신,경기남부액세스운용센터,분당운용팀,동부물류(이천물류),0230473323
73,대상,0232812702,estate,2.강남/서부,경기남부액세스운용센터,분당운용팀,동판교(삼평),0232812702
74,대상,0227097815,estate,2.강남/서부,경기남부액세스운용센터,분당운용팀,분당,0227097815
75,대상,0232812944,estate,2.강남/서부,경기남부액세스운용센터,분당운용팀,서판교(운중),0232812944
76,대상,0227439000,#N/A,2.강남/서부,경기남부액세스운용센터,분당운용팀,수내,0227439000
77,대상,0227289323,#N/A,2.강남/서부,경기남부액세스운용센터,분당운용팀,여주,0227289323
78,대상,0227468861,#N/A,2.강남/서부,경기남부액세스운용센터,분당운용팀,이천,0227468861
79,대상,0227131065,#N/A,2.강남/서부,경기남부액세스운용센터,성남운용팀,경기광주,0227131065
80,대상,0227297528,#N/A,2.강남/서부,경기남부액세스운용센터,성남운용팀,경기하남,0227297528
81,대상,0227096148,#N/A,2.강남/서부,경기남부액세스운용센터,성남운용팀,모란,0227096148
82,대상,1116131292,#N/A,2.강남/서부,경기서부액세스운용센터,남인천운용팀,인천,1116131292
83,대상,1116007462,#N/A,2.강남/서부,경기서부액세스운용센터,남인천운용팀,주안,1116007462
84,대상,1116003340,#N/A,2.강남/서부,경기서부액세스운용센터,서인천운용팀,강화1,1116003340
85,대상,1116008327,#N/A,2.강남/서부,경기서부액세스운용센터,서인천운용팀,서인천,1116008327
86,대상,1116046107,#N/A,2.강남/서부,경기서부액세스운용센터,송도운용팀,숭의,1116046107
87,대상,1116007024,#N/A,2.강남/서부,경기서부액세스운용센터,송도운용팀,항동,1116007024
88,대상,1116006506,#N/A,2.강남/서부,경기서부액세스운용센터,부천운용팀,부천,1116006506
89,대상,1116006436,estate,2.강남/서부,경기서부액세스운용센터,부천운용팀,북부천(본동),1116006436
